year   IAGA     geolat      geolon    declination
1999   SUM       72.30      321.70      323.82
1999   HOV       61.50      353.20      350.86
1999   GIM       56.38      265.36        0.96
1999   TAL       69.54      266.45      342.39
1999   CNL       65.75      248.75       25.13
1999   DAW       64.05      220.89       27.96
1999   EKP       61.11      265.95      357.53
1999   FCC       58.76      265.91      359.08
1999   FMC       56.66      248.79       18.87
1999   FSP       61.76      238.77       27.18
1999   SMI       60.03      248.07       21.30
1999   ISL       53.86      265.34        1.78
1999   PIN       50.20      263.96        4.07
1999   RAL       58.22      256.32       12.65
1999   RAN       62.82      267.89      352.17
1999   NOR       71.09       25.79        9.47
1999   NAL       78.92       11.95      359.84
1999   LYR       78.20       15.83        3.02
1999   JAN       70.90      351.30      346.05
1999   HOP       76.51       25.01        9.94
1999   BJN       74.50       19.20        5.57
1999   SOR       70.54       22.22        7.13
1999   TRO       69.66       18.94        4.96
1999   AND       69.30       16.03        3.11
1999   JCK       66.40       16.98        3.50
1999   DON       66.11       12.50        0.93
1999   RVK       64.94       10.99        0.11
1999   DOB       62.07        9.11      359.30
1999   SOL       61.08        4.84      357.24
1999   KAR       59.21        5.24      357.72
1999   HRN       77.00       15.60        2.92
1999   ALT       69.86       22.96        7.47
1999   KEV       69.76       27.01        9.87
1999   MAS       69.46       23.70        7.84
1999   KIL       69.06       20.77        6.00
1999   KAU       69.02       23.05        7.36
1999   IVA       68.56       27.29        9.70
1999   ABK       68.35       18.82        4.74
1999   LEK       68.13       13.54        1.54
1999   MUO       68.02       23.53        7.44
1999   LOZ       67.97       35.02       13.63
1999   KIR       67.84       20.42        5.62
1999   SOD       67.37       26.63        9.01
1999   PEL       66.90       24.08        7.51
1999   LYC       64.61       18.75        4.29
1999   OUJ       64.52       27.23        8.51
1999   HAN       62.25       26.60        7.59
1999   NUR       60.50       24.65        6.34
1999   UPS       59.90       17.35        3.19
1999   TAR       58.26       26.46        6.52
1999   BRW       71.32      203.38       23.33
1999   KAV       70.14      216.35       30.36
1999   KOT       66.88      197.40       17.59
1999   ARC       68.12      214.44       27.99
1999   INK       68.41      226.23       32.97
1999   BET       66.90      208.45       24.17
1999   FYU       66.56      214.78       27.18
1999   EAG       64.78      218.84       27.75
1999   CMO       64.87      212.14       25.01
1999   CGO       64.87      212.14       25.01
1999   GAK       62.39      214.87       24.88
1999   TLK       63.30      209.90       23.20
1999   CPY       70.20      235.30       36.44
1999   PKR       65.12      212.57       25.34
1999   DIK       73.53       80.70       29.97
1999   CCS       77.72      104.28       16.75
1999   TIK       71.59      128.92      342.75
1999   CWE       66.17      190.17       12.69
1999   ARK       64.60       40.50       14.42
1999   AAE        9.03       38.77        1.42
1999   ABG       18.62       72.87      358.97
1999   AMS      -37.80       77.57      320.48
1999   API      -13.80      188.22       11.53
1999   ASP      -23.77      133.88        5.15
